Word,Translation,Transliteration
ﻻ,No,la
ﻣﻦ,From,mn
ﻓﻲ,In,fy
ﺃﻥ,That,an
ﻋﻠﻰ,On,ely
ﻣﺎ,What,ma
ﺃﻧﺎ,I am,ana
ﻭ,And,w
ﻳﺎ,Oh,ya
ﺫﻟﻚ,That,dhlk
ﻟﻘﺪ,I have,lqd
ﻟﻢ,Why?,lm
ﻣﺎﺫﺍ,What?,madha
ﻛﺎﻥ,It was,kan
ﻫﻨﺎ,Here,hna
ﺇﻟﻰ,To,aly
ﺃﻧﺖ,You,ant
ﻫﻮ,He is,hw
ﻫﺬﻩ,This,hdhh
ﻋﻦ,About,en
ﻧﻌﻢ,Yes,nem
ﺍﻥ,That,an
ﻫﻨﺎﻙ,There,hnak
ﺣﺴﻨﺎ,Okay,hsna
ﻟﻴﺲ,Not,lys
ﻓﻘﻂ,Only,fqt
ﺷﻲﺀ,Something,shy'
ﻣﻊ,With,me
ﺍﻟﺬﻱ,Which,aldhy
ﻟﻜﻦ,But,lkn
ﺃﺟﻞ,Yes,ajl
ﻟﻚ,For you,lk
ﻳﺠﺐ,Must,yjb
ﻟﻦ,No,ln
ﻛﻴﻒ,How?,kyf
ﺣﺴﻨﺎ,Okay,hsna
ﺍﻧﺎ,We are,ana
ﻟﻲ,For me,ly
ﺳﻮﻑ,I will,swf
ﻧﺤﻦ,We are,nhn
ﺇﺫﺍ,If,adha
ﻛﺎﻧﺖ,It was,kant
ﻋﻨﺪﻣﺎ,When,endma
ﻗﺪ,May,qd
ﻟﻤﺎﺫﺍ,Why?,lmadha
ﻫﻲ,She is,hy
ﺍﻷﻣﺮ,The matter,alamr
ﺃﻧﻪ,It is,anh
ﻓﻰ,In,fy
ﺣﺘﻰ,Even,hty
ﺑﻌﺪ,After,bed
ﻛﺬﻟﻚ,Also,kdhlk
ﺃﻭ,Or,aw
ﻭﻟﻜﻦ,But,wlkn
ﻗﺒﻞ,Before,qbl
ﺍﻟﺘﻲ,Which,alty
ﺍﻧﻪ,It is,anh
ﺇﻧﻬﺎ,She is,anha
ﻟﻮ,If,lw
ﺭﺑﻤﺎ,Maybe,rbma
ﺃﻳﻦ,Where?,ayn
ﻫﻴﺎ,Come on,hya
ﺗﻠﻚ,That one,tlk
ﺃﻋﺮﻑ,I know,aerf
ﺍﻟﻰ,To,aly
ﺇﻥ,If,an
ﻳﻜﻮﻥ,It is,ykwn
ﺑﻌﺾ,Some,bed
ﺃﺭﻳﺪ,I want,aryd
ﺃﻋﺘﻘﺪ,I think,aetqd
ﺍﻧﺖ,You,ant
ﻋﻠﻴﻚ,On you,elyk
ﻣﺜﻞ,For example,mthl
ﺻﺤﻴﺢ,That's right,shyh
ﺑﻪ,With it,bh
ﺃﻧﻚ,That you are,ank
ﺍﻟﻮﻗﺖ,Time,alwqt
ﺑﺨﻴﺮ,Fine,bkhyr
ﺃﻋﻠﻢ,I know,aelm
ﺟﺪﺍ,Very good,jda
ﺭﺟﻞ,A man,rjl
ﺷﻜﺮﺍ,Thank you,shkra
ﻟﺬﺍ,So,ldha
ﻳﻤﻜﻦ,It is possible,ymkn
ﻛﻤﺎ,Also,kma
ﻛﻼ,Nope,kla
ﺃﻛﺜﺮ,More,akthr
ﻳﺒﺪﻭ,It seems,ybdw
ﺟﻴﺪ,Good,jyd
ﺗﻜﻮﻥ,Be,tkwn
