Word,Translation,Transliteration,Arabic Sentence,English Translation
ﺃﻧﻚ,That you are,ank,,No sentences found for the word.
ﺍﻟﻮﻗﺖ,Time,alwqt,,No sentences found for the word.
ﺑﺨﻴﺮ,Fine,bkhyr,,No sentences found for the word.
ﺃﻋﻠﻢ,I know,aelm,,No sentences found for the word.
ﺃﺣﺪ,𝐷𝐷𝐷,ahd,,No sentences found for the word.
ﺷﺨﺺ,A person,shkhs,,No sentences found for the word.
ﺟﺪﺍ,Very good,jda,,No sentences found for the word.
ﺭﺟﻞ,A man,rjl,,No sentences found for the word.
ﺷﻜﺮﺍ,Thank you,shkra,,No sentences found for the word.
ﻟﺬﺍ,So,ldha,,No sentences found for the word.
