Arabic,English
ﻻ,No
ﻣﻦ,From
ﻓﻲ,In
ﺃﻥ,That
ﻫﺬﺍ,This
ﻋﻠﻰ,On
ﻣﺎ,What
ﺃﻧﺎ,I am
ﻫﻞ,Is it?
ﻭ,And
ﻳﺎ,Oh
ﺫﻟﻚ,That
ﻟﻘﺪ,I have
ﻟﻢ,Why?
ﻣﺎﺫﺍ,What?
ﻛﺎﻥ,It was
ﻫﻨﺎ,Here
ﺇﻟﻰ,To
ﺃﻧﺖ,You
ﻫﻮ,He is
ﻫﺬﻩ,This
ﻋﻦ,About
ﻧﻌﻢ,Yes
ﺍﻥ,That
ﻫﻨﺎﻙ,There
ﻛﻞ,All
ﺣﺴﻨﺎ,Okay
ﻟﻴﺲ,Not
ﻛﻨﺖ,I was
ﻓﻘﻂ,Only
ﺷﻲﺀ,Something
ﺍﻵﻥ,Now
ﻣﻊ,With
ﺍﻟﺬﻱ,Which
ﻟﻜﻦ,But
ﺃﺟﻞ,Yes
ﻟﻚ,For you
ﻳﺠﺐ,Must
ﻟﻦ,No
ﻛﻴﻒ,How?
ﺣﺴﻨﺎ,Okay
ﺍﻧﺎ,We are
ﻟﻲ,For me
ﺇﻧﻪ,It is
ﺳﻮﻑ,I will
ﻧﺤﻦ,We are
ﺇﺫﺍ,If
ﻛﺎﻧﺖ,It was
ﻋﻨﺪﻣﺎ,When
ﺃﻱ,Yes
ﻗﺪ,May
ﻟﻤﺎﺫﺍ,Why?
ﻫﻲ,She is
ﺍﻷﻣﺮ,The matter
ﺃﻧﻪ,It is
ﻓﻰ,In
ﺣﺘﻰ,Even
ﺑﻌﺪ,After
ﻛﺬﻟﻚ,Also
ﺃﻭ,Or
ﻭﻟﻜﻦ,But
ﻗﺒﻞ,Before
ﺍﻟﺘﻲ,Which
ﺍﻧﻪ,It is
ﺇﻧﻬﺎ,She is
ﻟﻮ,If
ﺭﺑﻤﺎ,Maybe
ﺃﻳﻦ,Where?
ﻫﻴﺎ,Come on
ﺗﻠﻚ,That one
ﺃﻋﺮﻑ,I know
ﺍﻟﻰ,To
ﺇﻥ,If
ﻳﻜﻮﻥ,It is
ﺑﻌﺾ,Some
ﺃﺭﻳﺪ,I want
ﺃﻋﺘﻘﺪ,I think
ﺍﻧﺖ,You
ﻋﻠﻴﻚ,On you
ﻣﺜﻞ,For example
ﺻﺤﻴﺢ,That's right
ﺑﻪ,With it
ﺃﻧﻚ,That you are
ﺍﻟﻮﻗﺖ,Time
ﺑﺨﻴﺮ,Okay
ﺃﻋﻠﻢ,I know
ﺃﺣﺪ,One
ﺷﺨﺺ,A person
ﺟﺪﺍ,Very good
ﺭﺟﻞ,A man
ﺷﻜﺮﺍ,Thank you
ﻟﺬﺍ,So
ﻳﻤﻜﻦ,It is possible
ﻛﻤﺎ,Also
ﻛﻼ,Nope
ﺃﻛﺜﺮ,More
ﻳﺒﺪﻭ,It seems
ﺟﻴﺪ,Good
ﺗﻜﻮﻥ,Be
ﻋﻠﻲ,Ali
ﺍﻟﻴﻮﻡ,Today
ﻳﻤﻜﻨﻚ,You can
ﺍﻧﻬﺎ,She is
ﺃﻟﻴﺲ,Isn't it?
ﻣﺮﺣﺒﺎ,Hello
ﻟﺪﻱ,I have
ﻋﻠﻴﻪ,On him
ﺁﺧﺮ,Another
ﻟﺴﺖ,I'm not
ﻣﻨﺬ,Since
ﻏﻴﺮ,Not
ﺃﻳﻬﺎ,Yes
ﻟﺪﻳﻚ,You have
ﺣﻘﺎ,Really
ﺃﻧﺖ,You
ﺗﺮﻳﺪ,You want?
ﺃﺳﺘﻄﻴﻊ,I can
ﺍﻟﺮﺟﻞ,The man
ﺗﻌﺮﻑ,You know
ﻟﻪ,For him
ﻣﺮﺓ,Once
ﻟﺪﻳﻨﺎ,We have
ﺃﻧﻬﺎ,She is
ﻳﻤﻜﻨﻨﻲ,I can
ﺑﺄﻥ,That
ﻭﺍﺣﺪ,One
ﺃﻧﻨﻲ,I am
ﺃﻭﻩ,Oh
ﺳﻴﻜﻮﻥ,It will be
ﺍﻟﻨﺎﺱ,People
ﻟﻴﺴﺖ,Not
ﺣﺪﺙ,It happened
ﺑﻬﺎ,With it
ﺃﻳﻀﺎ,Also
ﺃﻓﻀﻞ,Better
ﺍﻟﻜﺜﻴﺮ,A lot
ﻋﻠﻴﻨﺎ,On us
ﺳﻴﺪﻱ,Sir
ﻣﻜﺎﻥ,A place
ﺗﻔﻌﻞ,It works
ﻭﻗﺖ,Time
ﻳﻜﻦ,Yes
ﺷﺊ,Something
ﺑﻬﺬﺍ,With this
ﻭﺃﻧﺎ,And I
ﺍﺫﺍ,So
ﺟﺪﺍ,Very good
ﺃﺧﺮﻯ,Other
ﺁﺳﻒ,Sorry
ﺑﻚ,With you
ﺭﺍﺋﻊ,Great
ﺑﺬﻟﻚ,So
ﻛﻢ,How much?
ﺇﺫﺍ,If
ﺛﻢ,Then
ﺷﻴﺌﺎ,Something
ﻳﻮﺟﺪ,There is
ﻭﺍﺣﺪﺓ,One
ﻭﻻ,And no
ﻗﻠﺖ,I said
ﻳﺤﺪﺙ,It happens
ﺑﺎﻟﻄﺒﻊ,In print
ﺷﻜﺮﺍ,Thank you
ﻣﺮﺣﺒﺎ,Hello
ﻳﻮﻡ,A day
ﺃﺑﻲ,My father
ﻣﻌﻚ,With you
ﻟﻬﺎ,For her
ﻣﻌﻲ,With me
ﺳﻴﺪ,Mr
ﺗﻌﻠﻢ,Learn
ﺇﺫﻥ,So
ﺍﻟﻌﻤﻞ,Work
ﺗﻢ,Done
ﺍﻟﻤﻜﺎﻥ,The place
