Word,Translation,Transliteration,Example Sentence,Sentence Translation
de,of,deh,Mis padres vienen de Nicaragua.,My parents are from Nicaragua.
que,that,keh,Tenga en cuenta que algunas de estas características son diferentes.,Note that some of these characteristics are different.
no,No,noh,"¿Te gustó el concierto? - No, ese estilo de música no me gusta.","Did you like the concert? - No, I don't like that style of music."
a,to,ah,Ve a tu habitación.,Go to your room.
la,the,lah,La pelota está en el tejado.,The ball is on the roof.
el,he,ehl,El gato está en el tejado.,The cat is on the roof.
y,and,ee,Quiero una pizza y un refresco.,I want a pizza and a soft drink.
es,is,sehr,Es alto y rubio.,He's tall and blond.
en,in,ehn,Hay comida ya preparada en el supermercado.,There's ready-made food in the supermarket.
lo,it,loh,¿Qué hago con el lomo de cerdo? - Cocínalo despacio.,What should I do with the pork loin? - Cook it slowly.
un,a,oon,Había un coche estacionado en la puerta.,There was a car parked at the gate.
por,by,pohr,Pásate por mi casa si quieres.,Come by my house if you want.
qué,that,keh,¿Qué estás haciendo?,What are you doing?
me,me,mi,¿Me vas a llamar mañana?,Are you going to call me tomorrow?
una,a,oo-nah,Es la una de la tarde.,It's one in the afternoon.
los,the,lohs,Todos los asientos estaban ocupados.,All the seats were taken.
se,HE,seh,Se compraron un coche nuevo.,They bought themselves a new car.
te,tea,teh,Te lo dio todo.,She gave you everything.
con,with,kohn,Los contenidos de esa caja son frágiles. Manipula con cuidado.,The contents of that box are fragile. Handle it with care.
para,for,pah-rah,Lo hice para ti.,I did it for you.
está,this,ehs-tah,¿Dónde está Joaquín? - Está en el baño.,Where's Joaquin? - He's in the bathroom.
mi,my,mee,"Ahora es mi turno, después será el tuyo.","Now it's my turn, afterwards it'll be yours."
pero,but,peh-roh,"Te quiero comprar algo, pero no tengo dinero.",I want to buy you something but I don't have any money.
sí,Yeah,see,"¿Quieres ir al cine? - Sí, pero primero hay que comer.","Do you want to go to the movies? - Yes, but let's eat first."
si,Yeah,see,"Si llueve mañana, cancelaremos el picnic.","If it rains tomorrow, we will cancel the picnic."
bien,good,byehn,Últimamente no me he sentido bien.,I haven't felt well lately.
